issues,status,notes,id,category,brand,model,version,powertrain,fuel,year,price_eur,price_source,power_kw,power_cv,consumption_l_100km,consumption_kg_100km,consumption_kwh_100km,battery_kwh,range_wltp_km,emissions_g_km,image_url,source_url,motornet_detail_url
tutto ok,,,motornet_7bbc21d249fb56,thermal,Alfa Romeo,Junior 1.2 Hybrid 145cv ibrida Ti eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Ti eDCT6,Alfa Romeo Junior 1.2 Hybrid 145cv ibrida Ti eDCT6,ibrida_benzina,,34450.0,motornet_prezzo_di_listino,100.0,136.0,4.8,,,,,109.0,assets/cars/motornet/motornet_7bbc21d249fb56.jpg,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7240,https://www.motornet.it/auto/scheda-modello/modello/2602/allestimento/ALF7240
tutto ok,,,motornet_407a270a533a71,thermal,Alfa Romeo,Tonale 1.6 130cv Business TCT6,Alfa Romeo Tonale 1.6 130cv Business TCT6,Alfa Romeo Tonale 1.6 130cv Business TCT6,diesel,,41500.0,motornet_prezzo_di_listino,96.0,130.0,5.3,,,,,138.0,assets/cars/motornet/motornet_407a270a533a71.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7228,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7228
tutto ok,,,motornet_1ea69a86334615,thermal,Alfa Romeo,Tonale 1.6 130cv Sport Speciale TCT6,Alfa Romeo Tonale 1.6 130cv Sport Speciale TCT6,Alfa Romeo Tonale 1.6 130cv Sport Speciale TCT6,diesel,,46500.0,motornet_prezzo_di_listino,96.0,130.0,5.5,,,,,144.0,assets/cars/motornet/motornet_1ea69a86334615.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7237,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7237
tutto ok,,,motornet_da1222735de18a,thermal,Alfa Romeo,Tonale 1.6 130cv Sprint TCT6,Alfa Romeo Tonale 1.6 130cv Sprint TCT6,Alfa Romeo Tonale 1.6 130cv Sprint TCT6,diesel,,41750.0,motornet_prezzo_di_listino,96.0,130.0,5.3,,,,,138.0,assets/cars/motornet/motornet_da1222735de18a.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7226,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7226
tutto ok,,,motornet_6347998766d70d,thermal,Alfa Romeo,Tonale 1.6 130cv Ti TCT6,Alfa Romeo Tonale 1.6 130cv Ti TCT6,Alfa Romeo Tonale 1.6 130cv Ti TCT6,diesel,,44500.0,motornet_prezzo_di_listino,96.0,130.0,5.4,,,,,140.0,assets/cars/motornet/motornet_6347998766d70d.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7229,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7229
tutto ok,,,motornet_e5cccb03bb705d,thermal,Alfa Romeo,Tonale 1.6 130cv Tonale TCT6,Alfa Romeo Tonale 1.6 130cv Tonale TCT6,Alfa Romeo Tonale 1.6 130cv Tonale TCT6,diesel,,40250.0,motornet_prezzo_di_listino,96.0,130.0,5.3,,,,,138.0,assets/cars/motornet/motornet_e5cccb03bb705d.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7227,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7227
tutto ok,,,motornet_87f04e59a2793e,thermal,Alfa Romeo,Tonale 1.6 130cv Veloce TCT6,Alfa Romeo Tonale 1.6 130cv Veloce TCT6,Alfa Romeo Tonale 1.6 130cv Veloce TCT6,diesel,,47250.0,motornet_prezzo_di_listino,96.0,130.0,5.4,,,,,141.0,assets/cars/motornet/motornet_87f04e59a2793e.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7231,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7231
tutto ok,,,motornet_c78477aec3a9bd,thermal,Alfa Romeo,Tonale 1.3 Plug in Hybrid 270cv Business Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Business Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Business Q4 AT6,ibrida_benzina,,52550.0,motornet_prezzo_di_listino,110.0,150.0,3.4,,,,,77.0,assets/cars/motornet/motornet_c78477aec3a9bd.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7216,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7216
tutto ok,,,motornet_a57f72c86e0c98,thermal,Alfa Romeo,Tonale 1.3 Plug in Hybrid 270cv Sport Speciale Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Sport Speciale Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Sport Speciale Q4 AT6,ibrida_benzina,,57800.0,motornet_prezzo_di_listino,110.0,150.0,3.6,,,,,82.0,assets/cars/motornet/motornet_a57f72c86e0c98.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7235,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7235
tutto ok,,,motornet_9f8bf5586bc0d2,thermal,Alfa Romeo,Tonale 1.3 Plug in Hybrid 270cv Sprint Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Sprint Q4 AT6,Alfa Romeo Tonale 1.3 Plug in Hybrid 270cv Sprint Q4 AT6,ibrida_benzina,,53050.0,motornet_prezzo_di_listino,110.0,150.0,3.4,,,,,77.0,assets/cars/motornet/motornet_9f8bf5586bc0d2.jpg,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7214,https://www.motornet.it/auto/scheda-modello/modello/2386/allestimento/ALF7214
