issues,status,notes,id,category,brand,model,version,powertrain,fuel,year,price_eur,price_source,power_kw,power_cv,consumption_l_100km,consumption_kg_100km,consumption_kwh_100km,battery_kwh,range_wltp_km,emissions_g_km,image_url,source_url,motornet_detail_url
too high emissioni CO2: 1685 g/km > 500,,,motornet_efa59cbf83ef8f,thermal,Cirelli Motor Company,5 1.5 Mild Hybrid 177cv Cross DCT,Cirelli Motor Company 5 1.5 Mild Hybrid 177cv Cross DCT,Cirelli Motor Company 5 1.5 Mild Hybrid 177cv Cross DCT,ibrida_benzina,,33900.0,motornet_prezzo_di_listino,130.0,177.0,6.6,,,,,1685.0,assets/cars/motornet/motornet_efa59cbf83ef8f.jpg,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0079,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0079
too high emissioni CO2: 1685 g/km > 500,,,motornet_06f205288b427a,thermal,Cirelli Motor Company,5 1.5 Mild Hybrid 177cv Premium DCT,Cirelli Motor Company 5 1.5 Mild Hybrid 177cv Premium DCT,Cirelli Motor Company 5 1.5 Mild Hybrid 177cv Premium DCT,ibrida_benzina,,30900.0,motornet_prezzo_di_listino,130.0,177.0,6.6,,,,,1685.0,assets/cars/motornet/motornet_06f205288b427a.jpg,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0077,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0077
too high emissioni CO2: 1685 g/km > 500,,,motornet_aee385d4cc3bdd,thermal,Cirelli Motor Company,5 1.5 Mild Hybrid Bi-Fuel Gpl 177cv Cross DCT,Cirelli Motor Company 5 1.5 Mild Hybrid Bi-Fuel Gpl 177cv Cross DCT,Cirelli Motor Company 5 1.5 Mild Hybrid Bi-Fuel Gpl 177cv Cross DCT,ibrida_gpl,,35900.0,motornet_prezzo_di_listino,130.0,177.0,6.6,,,,,1685.0,assets/cars/motornet/motornet_aee385d4cc3bdd.jpg,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0086,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0086
too high emissioni CO2: 1685 g/km > 500,,,motornet_d6b0a89aa2c05c,thermal,Cirelli Motor Company,5 1.5 Mild Hybrid Bi-Fuel Gpl 177cv Premium DCT,Cirelli Motor Company 5 1.5 Mild Hybrid Bi-Fuel Gpl 177cv Premium DCT,Cirelli Motor Company 5 1.5 Mild Hybrid Bi-Fuel Gpl 177cv Premium DCT,ibrida_gpl,,32900.0,motornet_prezzo_di_listino,130.0,177.0,6.6,,,,,1685.0,assets/cars/motornet/motornet_d6b0a89aa2c05c.jpg,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0084,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0084
too high emissioni CO2: 1782 g/km > 500,,,motornet_62dd3ef16e234e,thermal,Cirelli Motor Company,7 1.5 177cv Cross DCT,Cirelli Motor Company 7 1.5 177cv Cross DCT,Cirelli Motor Company 7 1.5 177cv Cross DCT,benzina,,34800.0,motornet_prezzo_di_listino,130.0,177.0,7.8,,,,,1782.0,assets/cars/motornet/motornet_62dd3ef16e234e.jpg,https://www.motornet.it/auto/scheda-modello/modello/2545/allestimento/CIR0052,https://www.motornet.it/auto/scheda-modello/modello/2545/allestimento/CIR0052
too high emissioni CO2: 1782 g/km > 500,,,motornet_c7e538a1bb625e,thermal,Cirelli Motor Company,7 1.5 177cv Premium DCT,Cirelli Motor Company 7 1.5 177cv Premium DCT,Cirelli Motor Company 7 1.5 177cv Premium DCT,benzina,,31800.0,motornet_prezzo_di_listino,130.0,177.0,7.8,,,,,1782.0,assets/cars/motornet/motornet_c7e538a1bb625e.jpg,https://www.motornet.it/auto/scheda-modello/modello/2545/allestimento/CIR0155,https://www.motornet.it/auto/scheda-modello/modello/2545/allestimento/CIR0155
too high emissioni CO2: 1782 g/km > 500,,,motornet_b2f1fd129de50a,thermal,Cirelli Motor Company,7 1.5 Bi-Fuel Gpl 177cv Cross DCT,Cirelli Motor Company 7 1.5 Bi-Fuel Gpl 177cv Cross DCT,Cirelli Motor Company 7 1.5 Bi-Fuel Gpl 177cv Cross DCT,gpl,,36800.0,motornet_prezzo_di_listino,130.0,177.0,7.8,,,,,1782.0,assets/cars/motornet/motornet_b2f1fd129de50a.jpg,https://www.motornet.it/auto/scheda-modello/modello/2545/allestimento/CIR0062,https://www.motornet.it/auto/scheda-modello/modello/2545/allestimento/CIR0062
missing prezzo | missing power_kw/power_cv | missing consumo termico | missing emissioni CO2,,,motornet_5e7cb12d02223c,thermal,COR,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0556,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0556,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0556,benzina,,,motornet_prezzo_di_listino,,,,,,,,,,https://www.motornet.it/auto/scheda-modello/modello/2735/allestimento/COR0556,https://www.motornet.it/auto/scheda-modello/modello/2735/allestimento/COR0556
missing prezzo | missing power_kw/power_cv | missing consumo termico | missing emissioni CO2,,,motornet_f9f33e3b229655,thermal,COR,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0552,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0552,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0552,benzina,,,motornet_prezzo_di_listino,,,,,,,,,,https://www.motornet.it/auto/scheda-modello/modello/2735/allestimento/COR0552,https://www.motornet.it/auto/scheda-modello/modello/2735/allestimento/COR0552
missing prezzo | missing power_kw/power_cv | missing consumo termico | missing emissioni CO2,,,motornet_99ab3cbd0cd4b6,thermal,COR,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0553,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0553,Motornet.it | auto | scheda modello | modello | 2735 | allestimento | COR0553,benzina,,,motornet_prezzo_di_listino,,,,,,,,,,https://www.motornet.it/auto/scheda-modello/modello/2735/allestimento/COR0553,https://www.motornet.it/auto/scheda-modello/modello/2735/allestimento/COR0553
